"Yeast1";"Freq"
"628";"ispi_850";1
"629";"ispi_851";4
"630";"ispi_855";4
"631";"ispi_856";1
"632";"ispi_860";1
"633";"ispi_861";3
"634";"ispi_862";3
"635";"ispi_863";2
"636";"ispi_865";1
"637";"ispi_87";4
"638";"ispi_870";1
"639";"ispi_871";3
"640";"ispi_874";3
"641";"ispi_879";2
"642";"ispi_88";1
"643";"ispi_880";3
"644";"ispi_882";1
"645";"ispi_883";4
"646";"ispi_885";3
"647";"ispi_89";1
"648";"ispi_893";2
"649";"ispi_899";3
"650";"ispi_9";1
"651";"ispi_900";10
"652";"ispi_904";3
"653";"ispi_905";1
"654";"ispi_906";1
"655";"ispi_907";1
"656";"ispi_91";1
"657";"ispi_911";1
"658";"ispi_912";6
"659";"ispi_915";3
"660";"ispi_92";4
"661";"ispi_920";1
"662";"ispi_921";2
"663";"ispi_922";1
"664";"ispi_923";2
"665";"ispi_925";1
"666";"ispi_926";1
"667";"ispi_927";1
"668";"ispi_93";4
"669";"ispi_930";3
"670";"ispi_931";1
"671";"ispi_932";2
"672";"ispi_933";2
"673";"ispi_934";5
"674";"ispi_935";3
"675";"ispi_937";1
"676";"ispi_941";2
"677";"ispi_942";4
"678";"ispi_944";3
"679";"ispi_948";3
"680";"ispi_949";1
"681";"ispi_95";2
"682";"ispi_951";7
"683";"ispi_954";3
"684";"ispi_955";2
"685";"ispi_958";2
"686";"ispi_96";3
"687";"ispi_960";2
"688";"ispi_961";3
"689";"ispi_962";1
"690";"ispi_969";4
"691";"ispi_97";2
"692";"ispi_971";5
"693";"ispi_972";1
"694";"ispi_973";3
"695";"ispi_977";1
"696";"ispi_978";4
"697";"ispi_98";3
"698";"ispi_980";1
"699";"ispi_981";3
"700";"ispi_982";3
"701";"ispi_983";3
"702";"ispi_984";5
"703";"ispi_985";1
"704";"ispi_987";3
"705";"ispi_988";1
"706";"ispi_989";3
"707";"ispi_99";3
"708";"ispi_991";2
"709";"ispi_993";2
"710";"ispi_994";4
"711";"ispi_995";3
"712";"ispi_996";1
"713";"ispi_998";3
"714";"ispi_999";1
"715";"uspi_1035";1
"716";"uspi_1038";1
"717";"uspi_1039";1
"718";"uspi_1042";1
"719";"uspi_1050";1
"720";"uspi_1051";1
"721";"uspi_1062";1
"722";"uspi_1071";1
"723";"uspi_1075";1
"724";"uspi_1095";1
"725";"uspi_1098";1
"726";"uspi_1102";1
"727";"uspi_1104";1
"728";"uspi_1105";1
"729";"uspi_1111";1
"730";"uspi_1126";1
"731";"uspi_1148";1
"732";"uspi_1152";1
"733";"uspi_1154";1
"734";"uspi_1158";1
"735";"uspi_1163";1
"736";"uspi_1167";1
"737";"uspi_1169";1
"738";"uspi_1172";1
"739";"uspi_1178";1
"740";"uspi_1182";1
"741";"uspi_1183";1
"742";"uspi_1185";1
"743";"uspi_1187";1
"744";"uspi_1188";1
"745";"uspi_1190";1
"746";"uspi_1191";1
"747";"uspi_1192";1
"748";"uspi_1194";1
"749";"uspi_12";1
"750";"uspi_1201";1
"751";"uspi_1202";1
"752";"uspi_1203";1
"753";"uspi_1204";1
"754";"uspi_1211";1
"755";"uspi_1212";1
"756";"uspi_1213";1
"757";"uspi_1219";1
"758";"uspi_1220";1
"759";"uspi_1221";1
"760";"uspi_1222";1
"761";"uspi_1223";1
"762";"uspi_1224";1
"763";"uspi_1225";1
"764";"uspi_1226";1
"765";"uspi_1228";1
"766";"uspi_1230";1
"767";"uspi_1231";1
"768";"uspi_1233";1
"769";"uspi_1234";1
"770";"uspi_1236";1
"771";"uspi_1238";1
"772";"uspi_1239";1
"773";"uspi_1240";1
"774";"uspi_1242";1
"775";"uspi_1243";1
"776";"uspi_1244";1
"777";"uspi_1245";1
"778";"uspi_1247";1
"779";"uspi_1254";1
"780";"uspi_1255";1
"781";"uspi_1259";1
"782";"uspi_1264";1
"783";"uspi_1282";1
"784";"uspi_1284";1
"785";"uspi_1285";1
"786";"uspi_1295";1
"787";"uspi_1302";1
"788";"uspi_1321";1
"789";"uspi_1365";1
"790";"uspi_1366";1
"791";"uspi_1373";1
"792";"uspi_1374";1
"793";"uspi_1380";1
"794";"uspi_1381";1
"795";"uspi_1382";1
"796";"uspi_1392";1
"797";"uspi_1396";1
"798";"uspi_1433";1
"799";"uspi_1434";1
"800";"uspi_1435";1
"801";"uspi_1442";1
"802";"uspi_1443";1
