Reaction;iAZ900;iFF708;iLL672;iMM904;iND750;iTO977;Yeast1;Yeast6;Yeast7
imrxn_2251;0;0;0;1;1;0;1;1;1
imrxn_2252;1;0;0;1;1;0;0;0;0
imrxn_2253;0;1;0;0;1;1;0;0;0
imrxn_2254;1;0;0;0;0;0;0;1;1
imrxn_2255;0;0;1;0;0;0;0;0;0
imrxn_2256;0;0;0;1;1;0;1;1;1
imrxn_2257;0;0;0;0;0;0;0;1;1
imrxn_2258;1;0;0;0;0;0;0;1;1
imrxn_2259;1;0;0;0;0;0;0;1;1
imrxn_2260;1;0;0;1;1;0;0;0;0
imrxn_2261;0;1;1;0;0;0;0;0;0
imrxn_2262;0;0;0;0;0;0;1;1;1
imrxn_2263;1;1;1;1;1;1;1;1;1
imrxn_2264;0;1;1;1;1;1;1;1;1
imrxn_2265;0;0;0;0;0;0;1;1;1
imrxn_2266;1;0;0;0;0;0;0;1;1
imrxn_2267;0;1;0;0;0;0;0;0;0
imrxn_2268;1;1;1;1;1;1;1;1;1
imrxn_2269;1;0;0;0;0;0;0;1;1
imrxn_2270;1;1;1;1;1;1;1;1;1
imrxn_2271;1;1;1;1;1;1;1;1;1
imrxn_2272;0;1;1;1;1;1;1;1;1
imrxn_2273;1;1;1;1;1;0;0;0;0
imrxn_2274;1;1;1;1;1;1;1;1;1
imrxn_2275;1;1;1;1;1;1;1;1;1
imrxn_2276;0;0;0;0;0;0;0;1;1
imrxn_2277;1;1;1;1;1;1;1;1;1
imrxn_2278;1;0;1;0;0;0;0;0;0
imrxn_2279;1;0;0;1;1;0;1;1;0
imrxn_2280;0;1;0;1;1;1;1;1;0
imrxn_2281;0;1;1;1;1;1;1;1;1
imrxn_2282;0;0;0;0;0;1;0;0;0
imrxn_2283;0;0;0;0;0;0;1;0;0
imrxn_2284;1;0;0;1;1;0;0;0;0
imrxn_2285;1;1;1;1;1;1;1;1;1
imrxn_2286;1;0;0;0;0;0;0;1;1
imrxn_2287;0;0;0;1;0;1;1;1;1
imrxn_2288;0;0;0;1;1;0;1;1;1
imrxn_2289;0;0;0;1;1;0;1;1;1
imrxn_2290;1;0;0;0;0;0;0;1;1
imrxn_2291;1;1;1;1;1;1;1;1;1
imrxn_2292;1;0;0;0;0;0;0;1;1
imrxn_2293;0;1;1;1;1;1;1;1;1
imrxn_2294;1;0;0;1;0;0;0;0;0
imrxn_2295;1;1;1;1;1;1;1;1;1
imrxn_2296;0;1;1;1;1;1;1;1;1
imrxn_2297;1;0;0;0;0;0;0;1;1
imrxn_2298;0;0;0;1;1;0;1;1;1
imrxn_2299;1;0;1;0;0;0;0;0;0
imrxn_2300;0;0;0;0;0;1;0;0;0
imrxn_2301;1;0;1;0;0;0;0;0;0
imrxn_2302;1;0;0;0;0;1;1;1;1
imrxn_2303;0;1;1;1;1;1;1;1;1
imrxn_2304;1;0;0;1;1;0;1;1;1
imrxn_2305;1;0;1;0;0;0;0;0;0
imrxn_2306;0;0;1;0;0;0;0;0;0
imrxn_2307;0;0;0;0;0;1;0;1;0
imrxn_2308;0;0;0;1;1;0;1;1;1
imrxn_2309;1;1;0;1;1;1;1;1;1
imrxn_2310;0;0;0;1;1;0;1;1;1
imrxn_2311;0;0;1;0;0;0;0;0;0
imrxn_2312;1;0;1;0;0;0;0;0;0
imrxn_2313;0;1;1;1;1;1;1;1;1
imrxn_2314;0;0;1;0;0;0;0;0;0
imrxn_2315;1;0;0;0;0;0;0;0;1
imrxn_2316;0;1;1;1;1;1;1;1;1
imrxn_2317;0;1;1;1;1;1;1;1;1
imrxn_2318;1;0;0;1;0;1;1;1;1
imrxn_2319;1;0;1;0;0;0;0;0;0
imrxn_2320;0;1;1;1;1;1;1;1;1
imrxn_2321;1;0;0;1;1;0;1;0;0
imrxn_2322;0;0;0;1;1;0;0;0;0
imrxn_2323;1;0;1;0;0;0;0;0;0
imrxn_2324;1;0;0;0;0;0;0;1;1
imrxn_2325;1;1;1;1;1;1;1;1;1
imrxn_2326;1;0;1;0;0;0;0;0;0
imrxn_2327;1;0;0;1;1;0;1;1;1
imrxn_2328;0;0;0;0;0;0;0;1;1
imrxn_2329;1;0;1;0;0;0;0;0;0
imrxn_2330;0;0;0;1;1;1;1;1;1
imrxn_2331;0;1;1;1;1;1;1;1;1
imrxn_2332;0;0;0;0;0;0;1;0;1
imrxn_2333;0;1;1;1;1;1;1;1;1
imrxn_2334;0;1;1;0;0;1;0;0;0
imrxn_2335;1;0;1;0;0;0;0;0;0
imrxn_2336;0;1;1;1;1;1;1;1;1
imrxn_2337;0;0;0;0;0;1;0;0;0
imrxn_2338;0;1;1;1;1;0;0;0;0
imrxn_2339;0;0;0;0;0;0;0;1;1
imrxn_2340;1;0;0;1;1;0;1;1;1
imrxn_2341;0;0;0;0;0;1;0;0;0
imrxn_2342;1;0;0;1;1;0;1;1;1
imrxn_2343;0;1;1;1;1;1;1;1;1
imrxn_2344;0;1;1;0;0;1;0;0;0
imrxn_2345;1;1;1;1;1;1;1;1;1
imrxn_2346;0;0;0;0;0;0;0;1;1
imrxn_2347;0;0;1;0;0;0;0;0;0
imrxn_2348;1;0;0;1;1;0;1;0;0
imrxn_2349;0;0;0;0;0;0;0;1;1
imrxn_2350;0;0;0;0;0;0;0;1;1
imrxn_2351;1;0;0;1;1;0;1;1;1
imrxn_2352;1;0;0;0;0;0;0;1;1
imrxn_2353;0;0;0;1;1;0;1;1;1
imrxn_2354;1;0;0;0;0;0;0;1;1
imrxn_2355;0;0;0;1;0;0;1;1;0
imrxn_2356;1;0;0;1;0;0;1;0;0
imrxn_2357;0;0;0;0;0;0;0;1;1
imrxn_2358;1;0;0;0;0;0;0;1;1
imrxn_2359;1;0;0;0;0;0;1;0;0
imrxn_2360;1;0;0;0;0;0;0;1;1
imrxn_2361;1;0;0;0;0;0;0;1;1
imrxn_2362;1;1;1;0;0;1;0;0;0
